RDMD_ID,Region,"Household ID","Family Size","Urban / Rural"
715,17,531900200000002430208,003,2
716,17,531900200000000670057,002,2
717,17,531900200000003688003,003,2
718,17,531900200000003430299,006,2
719,17,531900200000000420036,001,2
720,17,531900200000000520045,001,2
721,17,531900200000001680145,004,2
722,17,531900200000002188002,001,2
723,17,531900200000002680232,004,2
724,17,531900200000001180100,002,2
725,17,531800100200000090009,005,2
726,17,531800100200002180195,007,2
727,17,531800100200001420134,009,2
728,17,531800100200000850078,006,2
729,17,531800100200000660061,007,2
730,17,531800100200002370214,004,2
731,17,531800100200001040097,003,2
732,17,531800100200000280026,009,2
733,17,531800100200000020002,005,2
734,17,531800100200001990177,003,2
735,17,531800100200000210020,004,2
736,17,531800100200001230116,004,2
737,17,531701600300001830153,007,1
738,17,531701600300000280022,005,1
739,17,531701600300002250192,004,1
740,17,531701600300001200095,004,1
741,17,531701600300002040174,009,1
742,17,531701600300000360029,005,1
743,17,531701600300001410114,003,1
744,17,531701600300000490041,002,1
745,17,531701600300001620133,004,1
746,17,531701600300000158001,005,1
747,17,531701600300000990075,005,1
748,17,531701600300002670218,002,1
749,17,531701600300000570048,002,1
750,17,531701100300101070100,012,2
751,17,531701100300102120180,004,2
752,17,531701100300102540216,007,2
753,17,531701100300101490137,003,2
754,17,531701100300103170274,008,2
755,17,531701100300100860081,007,2
756,17,531701100300102960254,004,2
757,17,531701100300100650060,004,2
758,17,531701100300101700157,006,2
759,17,531701100300100110011,001,2
760,17,531701100300100020002,006,2
761,17,531701100300101910175,006,2
762,17,531701100300102750236,006,2
763,17,531701100300100230019,002,2
764,17,531701100300103380292,001,2
765,17,531701100200001530140,007,2
766,17,531701100200000480040,006,2
767,17,531701100200000630054,005,2
768,17,531701100200002580245,005,2
769,17,531701100200000030003,004,2
770,17,531701100200001980185,004,2
771,17,531701100200002430230,005,2
772,17,531701100200001080095,004,2
773,17,531701100200002730260,004,2
774,17,531701100200001838003,003,2
775,17,531701100200002130200,003,2
776,17,531701100200001380125,003,2
777,17,531701100200003030290,004,2
778,17,531701100200001688002,003,2
779,17,531701100200000180018,006,2
780,17,531701100200001230110,003,2
781,17,531701100200000108004,004,2
782,17,531701100200000780065,003,2
783,17,531701100200000338001,005,2
784,17,531606701100400708006,004,1
785,17,531606701100400828005,007,1
786,17,531606701100400128007,002,1
787,17,531606701100401428001,001,1
788,17,531606701100400948004,002,1
789,17,531606701100400468002,004,1
790,17,531606701100401550141,006,1
791,17,531606701100401060099,004,1
792,17,531606701100400220021,004,1
793,17,531606701100400080007,007,1
794,17,531606701100400340033,006,1
795,17,531606701100400268003,004,1
796,17,531606701100400588008,003,1
797,17,531606700700200248001,007,1
798,17,531606700700200518002,002,1
799,17,531606700700200220018,003,1
800,17,531606700700201288004,004,1
801,17,531606700700200788003,005,1
802,17,531606700200001388005,002,1
803,17,531606700200003208013,001,1
804,17,531606700200000608002,003,1
805,17,531606700200002428012,001,1
806,17,531606700200003468006,001,1
807,17,531606700200001128003,004,1
808,17,531606700200001648007,001,1
809,17,531606700200002948009,001,1
810,17,531606700200000048011,002,1
811,17,531606700200001908012,001,1
812,17,531606700200000328001,001,1
813,17,531606700200002168010,002,1
814,17,531606700200000868004,004,1
815,17,531606700200002688008,001,1
816,17,531606600900501450117,003,1
817,17,531606600900500340030,002,1
818,17,531606600900501180099,004,1
819,17,531606600900500050004,004,1
820,17,531606600900500638001,005,1
821,17,531606600900500570052,004,1
822,17,531606600900500910081,005,1
823,17,531606600400101378006,002,1
824,17,531606600400100370035,002,1
825,17,531606600400101138005,002,1
826,17,531606600400101970171,003,1
827,17,531606600400101720152,002,1
828,17,531606600400101618008,005,1
829,17,531606600400100618002,008,1
830,17,531606600400100010001,004,1
831,17,531606600400101858009,002,1
832,17,531606600400100230022,004,1
833,17,531606600400101500130,009,1
834,17,531606600400100498001,009,1
835,17,531606600400100898003,001,1
836,17,531606600400100770066,006,1
837,17,531606600400100158007,003,1
838,17,531606600400101018004,005,1
839,17,531606600200002688003,003,1
840,17,531606600200000508009,003,1
841,17,531606600200000248006,005,1
842,17,531606600200002920262,006,1
843,17,531606600200000760066,003,1
844,17,531606600200001720166,006,1
845,17,531606600200001968003,002,1
846,17,531606600200000168007,003,1
847,17,531606600200000428008,004,1
848,17,531606600200002208004,004,1
849,17,531606600200001248002,004,1
850,17,531606600200002440225,008,1
851,17,531606600200001008001,006,1
852,17,531606100300100598001,002,1
853,17,531606100300100130013,004,1
854,17,531606100300100180018,002,1
855,17,531606100300100050005,004,1
856,17,531606100300100700068,005,1
857,17,531606100300100270026,006,1
858,17,531605800500300130013,003,1
