RDMD_ID,Region,"Household ID","J1 - Family's main source of water supply","WS1 - Family's main source of drinking water","WS2 - Family's main source of water used for other purposes"
558,17,590100800100000650059,01,11,"  "
559,17,590100800100002010191,04,31,"  "
560,17,590100800100000960090,04,72,11
561,17,590100800100000800074,06,12,"  "
562,17,590100800100001560148,04,11,"  "
563,17,590100800100000210020,01,11,"  "
564,17,590100800100000410038,01,11,"  "
565,17,590100800100000040004,01,72,11
566,17,590100800100000170017,01,11,"  "
567,17,590100800100000500047,04,72,11
568,17,590100800100001410134,04,72,31
569,17,590100300000003898004,01,72,11
570,17,590100300000000410041,01,72,11
571,17,590100300000001800167,01,11,"  "
572,17,590100300000002220206,06,41,"  "
573,17,590100300000002500234,01,11,"  "
574,17,590100300000001380126,08,81,"  "
575,17,590100300000001940178,07,42,"  "
576,17,590100300000002640248,03,14,"  "
577,17,590100300000003610338,01,72,11
578,17,590100300000003050287,03,72,14
579,17,590100300000002360220,06,41,"  "
580,17,590100300000000968001,04,72,21
581,17,590100300000003478002,01,11,"  "
582,17,590100300000000140014,01,72,11
583,17,590100300000001520140,08,81,"  "
584,17,590100300000003190301,02,72,12
585,17,590100300000004030375,01,72,11
586,17,590100300000001660154,08,81,"  "
587,17,590100300000000260026,01,72,11
588,17,590100300000002770260,01,72,11
589,17,590100300000002910273,04,21,"  "
590,17,590100300000000820074,01,72,11
591,17,590100300000003750350,01,72,11
592,17,590100300000000100010,01,72,11
593,17,590100300000003330315,07,42,"  "
594,17,590100300000000558003,03,14,"  "
595,17,532400800100000390037,05,13,"  "
596,17,532400800100001340113,04,72,21
597,17,532400800100000770064,02,12,"  "
598,17,532400800100000010001,01,72,11
599,17,532400800100001720151,01,72,11
600,17,532400800100000960080,04,21,"  "
601,17,532400800100000200019,01,12,"  "
602,17,532400800100001150098,04,72,21
603,17,532400800100000588001,05,21,"  "
604,17,532400300100001790170,04,72,21
605,17,532400300100000590055,05,31,"  "
606,17,532400300100002240210,04,21,"  "
607,17,532400300100002690255,03,14,"  "
608,17,532400300100000440042,04,21,"  "
609,17,532400300100000140014,05,32,"  "
610,17,532400300100001040096,05,31,"  "
611,17,532400300100000130013,02,12,"  "
612,17,532400300100000280028,05,72,31
613,17,532400300100002390225,05,31,"  "
614,17,532400300100001190110,05,32,"  "
615,17,532400300100000290029,04,21,"  "
616,17,532400300100000740069,04,72,21
617,17,532400300100002090197,05,32,"  "
618,17,532400300100001490140,03,14,"  "
619,17,532400300100000898001,04,21,"  "
620,17,532400300100001340125,04,32,"  "
621,17,532400300100001940183,05,21,"  "
622,17,532301100400101018006,07,41,"  "
623,17,532301100400100638002,07,42,"  "
624,17,532301100400101590157,05,31,"  "
625,17,532301100400100060006,04,14,"  "
626,17,532301100400100828005,07,41,"  "
627,17,532301100400100458001,07,42,"  "
628,17,532301100400101398003,07,42,"  "
629,17,532301100400100268004,07,42,"  "
630,17,532301100400100080007,03,14,"  "
631,17,532000800400200260026,05,14,"  "
632,17,532000800400201100110,05,14,"  "
633,17,532000800400200540054,03,14,"  "
634,17,532000800400200680068,05,14,"  "
635,17,532000800400201520152,03,14,"  "
636,17,532000800400200960096,03,14,"  "
637,17,532000800400201240124,05,14,"  "
638,17,532000800400200120012,05,14,"  "
639,17,532000800400200080008,05,14,"  "
640,17,532000800400200820082,03,14,"  "
641,17,532000800400201660166,03,14,"  "
642,17,532000800400201380138,05,14,"  "
643,17,532000800200001520128,03,14,"  "
644,17,532000800200000208001,03,14,"  "
645,17,532000800200000640051,05,32,"  "
646,17,532000800200000428002,05,31,"  "
647,17,532000800200002400211,03,72,14
648,17,532000800200001080089,03,14,"  "
649,17,532000800200000868003,03,13,"  "
650,17,532000800200001300110,03,14,"  "
651,17,532000800200002180189,04,14,"  "
652,17,532000800200002848005,03,72,13
653,17,532000800200001740147,03,14,"  "
654,17,532000800200001968004,03,14,"  "
655,17,532000800200000600048,03,14,"  "
656,17,532000300200002130191,04,31,"  "
657,17,532000300200002010179,06,41,"  "
658,17,532000300200001750154,05,14,"  "
659,17,532000300200001630143,03,14,"  "
660,17,532000300200000240018,03,14,"  "
661,17,532000300200000620051,03,14,"  "
662,17,532000300200000870074,01,11,"  "
663,17,532000300200000748001,03,14,"  "
664,17,532000300200001500131,03,14,"  "
665,17,532000300200001250109,03,14,"  "
666,17,532000300200000350028,03,14,"  "
667,17,532000300200001120097,03,14,"  "
668,17,532000300200000480038,03,14,"  "
669,17,532000300200000998002,05,31,"  "
670,17,532000300200000080008,03,14,"  "
671,17,532000300200000220017,04,14,"  "
672,17,532000300200001880166,06,41,"  "
673,17,531900800300101570138,02,12,"  "
674,17,531900800300100810067,01,72,11
675,17,531900800300100010001,04,31,"  "
676,17,531900800300100100008,01,11,"  "
677,17,531900800300100900076,01,11,"  "
678,17,531900800300101280110,01,11,"  "
679,17,531900800300100110009,01,72,11
680,17,531900800300100220019,01,11,"  "
681,17,531900800300101000084,02,12,"  "
682,17,531900800300100420036,01,11,"  "
683,17,531900800300101470129,03,14,"  "
684,17,531900800300100710059,01,11,"  "
685,17,531900800300101850164,01,11,"  "
686,17,531900800300100620051,01,11,"  "
687,17,531900800300101380120,01,11,"  "
688,17,531900800300100020002,05,32,"  "
689,17,531900800300101760156,01,11,"  "
690,17,531900800300101090093,01,11,"  "
691,17,531900800300100310025,01,11,"  "
692,17,531900500100000400040,01,72,11
693,17,531900500100001008002,01,11,"  "
694,17,531900500100002500236,01,11,"  "
695,17,531900500100000340034,01,11,"  "
696,17,531900500100000850085,01,11,"  "
697,17,531900500100000108001,01,11,"  "
698,17,531900500100001600149,01,72,11
699,17,531900500100000040004,01,11,"  "
700,17,531900500100001158003,01,11,"  "
701,17,531900500100000550055,01,11,"  "
702,17,531900500100001750162,01,11,"  "
703,17,531900500100001300126,01,11,"  "
704,17,531900500100000700070,01,72,11
705,17,531900500100002350221,01,11,"  "
706,17,531900500100000250025,01,11,"  "
707,17,531900500100002200206,01,11,"  "
708,17,531900500100001900176,01,11,"  "
709,17,531900200000001930164,01,11,"  "
